24-08-2018,216.16,18457720,216.6,216.9,215.11
23-08-2018,215.49,18505780,214.65,217.05,214.6
22-08-2018,215.05,18965930,214.1,216.36,213.84
21-08-2018,215.04,25682700,216.8,217.19,214.025
20-08-2018,215.46,30149410,218.1,219.18,215.11
17-08-2018,217.58,35034410,213.44,217.95,213.16
16-08-2018,213.32,27595310,211.75,213.8121,211.47
15-08-2018,210.24,28595230,209.22,210.74,208.33
14-08-2018,209.75,20679270,210.155,210.56,208.26
13-08-2018,208.87,25864510,207.7,210.952,207.7
10-08-2018,207.53,24592460,207.36,209.1,206.67
09-08-2018,208.88,23389530,207.28,209.78,207.2
08-08-2018,207.25,22493750,206.05,207.81,204.52
07-08-2018,207.11,25525650,209.32,209.5,206.76
06-08-2018,209.07,25396100,208,209.25,207.07
03-08-2018,207.99,33408050,207.03,208.74,205.4803
02-08-2018,207.39,62317430,200.58,208.38,200.35
01-08-2018,201.5,67812280,199.13,201.76,197.31
31-07-2018,190.29,37847260,190.3,192.14,189.34
30-07-2018,189.91,20912890,191.9,192.2,189.07
27-07-2018,190.98,23975350,194.99,195.19,190.1
26-07-2018,194.21,19005150,194.61,195.96,193.61
25-07-2018,194.82,16553500,193.06,194.85,192.43
